date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:44	72174/72174	---M-Z	200	added ('OK')	application/javascript	etag:%22119ee-55a4fe32014c0-gzip%22	http://bonjourbebe.pl/1/style/jquery-1.4.2.min.js	bonjourbebe.pl/1/style/jquery-1.4.2.min.js	(from http://bonjourbebe.pl/1/index.html)
15:19:45	4722/4722	---M-Z	200	added ('OK')	application/javascript	etag:%221272-55a4fe32f5700-gzip%22	http://bonjourbebe.pl/1/style/scripts.js	bonjourbebe.pl/1/style/scripts.js	(from http://bonjourbebe.pl/1/index.html)
15:19:45	6023/6023	---M-Z	200	added ('OK')	application/javascript	etag:%221787-55a4fe310d280-gzip%22	http://bonjourbebe.pl/1/style/easySlider.js	bonjourbebe.pl/1/style/easySlider.js	(from http://bonjourbebe.pl/1/index.html)
15:19:46	11701/11701	---M-Z	200	added ('OK')	application/javascript	etag:%222db5-55a4fe32f5700-gzip%22	http://bonjourbebe.pl/1/style/lightbox.js	bonjourbebe.pl/1/style/lightbox.js	(from http://bonjourbebe.pl/1/index.html)
15:19:51	12068/12068	---M--	200	added ('OK')	image/png	etag:%222f24-55a4fe1659380%22	http://bonjourbebe.pl/1/gfx/logoTop.png	bonjourbebe.pl/1/gfx/logoTop.png	(from http://bonjourbebe.pl/1/index.html)
15:19:51	4618/4618	---M-Z	200	added ('OK')	text/html	etag:%22120a-55a4fe1470f00-gzip%22	http://bonjourbebe.pl/1/kontakt.html	bonjourbebe.pl/1/kontakt.html	(from http://bonjourbebe.pl/1/index.html)
15:19:53	4506/4506	---M-Z	200	added ('OK')	text/html	etag:%22119a-55a4fe1470f00-gzip%22	http://bonjourbebe.pl/1/plan_dnia.html	bonjourbebe.pl/1/plan_dnia.html	(from http://bonjourbebe.pl/1/index.html)
15:19:55	3526/3526	---M-Z	200	added ('OK')	text/html	etag:%22dc6-55a4fe1288a80-gzip%22	http://bonjourbebe.pl/1/aktualnosci.html	bonjourbebe.pl/1/aktualnosci.html	(from http://bonjourbebe.pl/1/index.html)
15:19:57	5756/5756	---M-Z	200	added ('OK')	text/html	etag:%22167c-55a4fe137ccc0-gzip%22	http://bonjourbebe.pl/1/galeria.html	bonjourbebe.pl/1/galeria.html	(from http://bonjourbebe.pl/1/index.html)
15:19:59	4844/4844	---M-Z	200	added ('OK')	text/html	etag:%2212ec-57f15fc83e007-gzip%22	http://bonjourbebe.pl/1/cennik.html	bonjourbebe.pl/1/cennik.html	(from http://bonjourbebe.pl/1/index.html)
15:20:01	6052/6052	---M-Z	200	added ('OK')	text/html	etag:%2217a4-55a4fe1470f00-gzip%22	http://bonjourbebe.pl/1/miejsce.html	bonjourbebe.pl/1/miejsce.html	(from http://bonjourbebe.pl/1/index.html)
15:20:03	7543/7543	---M-Z	200	added ('OK')	text/html	etag:%221d77-55a4fe137ccc0-gzip%22	http://bonjourbebe.pl/1/kadra.html	bonjourbebe.pl/1/kadra.html	(from http://bonjourbebe.pl/1/index.html)
15:20:05	5872/5872	---M-Z	200	added ('OK')	text/html	etag:%2216f0-55a4fe1470f00-gzip%22	http://bonjourbebe.pl/1/kuchnia.html	bonjourbebe.pl/1/kuchnia.html	(from http://bonjourbebe.pl/1/index.html)
15:20:07	4349/4349	---M-Z	200	added ('OK')	text/html	etag:%2210fd-55a4fe137ccc0-gzip%22	http://bonjourbebe.pl/1/bezpieczenstwo.html	bonjourbebe.pl/1/bezpieczenstwo.html	(from http://bonjourbebe.pl/1/index.html)
15:20:09	2937/2937	---M--	200	added ('OK')	image/png	etag:%22b79-55a4fe1659380%22	http://bonjourbebe.pl/1/gfx/tel.png	bonjourbebe.pl/1/gfx/tel.png	(from http://bonjourbebe.pl/1/index.html)
15:20:15	15554/15554	---M--	200	added ('OK')	image/png	etag:%223cc2-55a4fe1565140%22	http://bonjourbebe.pl/1/gfx/facebook.png	bonjourbebe.pl/1/gfx/facebook.png	(from http://bonjourbebe.pl/1/index.html)
15:20:25	1227/1227	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2009%20May%202019%2019:20:11%20GMT	http://bonjourbebe.pl/2/style/icon.ico	bonjourbebe.pl/2/style/icon.1a.delayed	(from http://bonjourbebe.pl/2/index.html)
15:20:27	7126/7126	---M-Z	200	added ('OK')	text/css	etag:%221bd6-55d7b18251fc0-gzip%22	http://bonjourbebe.pl/2/style/style.css	bonjourbebe.pl/2/style/style.css	(from http://bonjourbebe.pl/2/index.html)
15:20:29	4191/4191	---M-Z	200	added ('OK')	text/css	etag:%22105f-55d7b1815dd80-gzip%22	http://bonjourbebe.pl/2/style/lightbox.css	bonjourbebe.pl/2/style/lightbox.css	(from http://bonjourbebe.pl/2/index.html)
15:20:35	4722/4722	---M-Z	200	added ('OK')	application/javascript	etag:%221272-55d7b1815dd80-gzip%22	http://bonjourbebe.pl/2/style/scripts.js	bonjourbebe.pl/2/style/scripts.js	(from http://bonjourbebe.pl/2/index.html)
15:20:35	72174/72174	---M-Z	200	added ('OK')	application/javascript	etag:%22119ee-55d7b17f75900-gzip%22	http://bonjourbebe.pl/2/style/jquery-1.4.2.min.js	bonjourbebe.pl/2/style/jquery-1.4.2.min.js	(from http://bonjourbebe.pl/2/index.html)
15:20:35	6023/6023	---M-Z	200	added ('OK')	application/javascript	etag:%221787-55d7b17f75900-gzip%22	http://bonjourbebe.pl/2/style/easySlider.js	bonjourbebe.pl/2/style/easySlider.js	(from http://bonjourbebe.pl/2/index.html)
15:20:37	11701/11701	---M-Z	200	added ('OK')	application/javascript	etag:%222db5-55d7b1815dd80-gzip%22	http://bonjourbebe.pl/2/style/lightbox.js	bonjourbebe.pl/2/style/lightbox.js	(from http://bonjourbebe.pl/2/index.html)
15:20:43	4426/4426	---M-Z	200	added ('OK')	text/html	etag:%22114a-55d90a0eb4400-gzip%22	http://bonjourbebe.pl/2/kontakt.html	bonjourbebe.pl/2/kontakt.html	(from http://bonjourbebe.pl/2/index.html)
15:20:45	10958/10958	---M--	200	added ('OK')	image/png	etag:%222ace-55d9076f51400%22	http://bonjourbebe.pl/2/gfx/logoTop.png	bonjourbebe.pl/2/gfx/logoTop.png	(from http://bonjourbebe.pl/2/index.html)
15:20:45	4506/4506	---M-Z	200	added ('OK')	text/html	etag:%22119a-55d7b1852e680-gzip%22	http://bonjourbebe.pl/2/plan_dnia.html	bonjourbebe.pl/2/plan_dnia.html	(from http://bonjourbebe.pl/2/index.html)
15:20:47	3526/3526	---M-Z	200	added ('OK')	text/html	etag:%22dc6-55d7b18251fc0-gzip%22	http://bonjourbebe.pl/2/aktualnosci.html	bonjourbebe.pl/2/aktualnosci.html	(from http://bonjourbebe.pl/2/index.html)
15:20:49	5756/5756	---M-Z	200	added ('OK')	text/html	etag:%22167c-55d7b1843a440-gzip%22	http://bonjourbebe.pl/2/galeria.html	bonjourbebe.pl/2/galeria.html	(from http://bonjourbebe.pl/2/index.html)
15:20:51	4849/4849	---M-Z	200	added ('OK')	text/html	etag:%2212f1-57e9fb60f77dc-gzip%22	http://bonjourbebe.pl/2/cennik.html	bonjourbebe.pl/2/cennik.html	(from http://bonjourbebe.pl/2/index.html)
15:20:53	6052/6052	---M-Z	200	added ('OK')	text/html	etag:%2217a4-55d7b186228c0-gzip%22	http://bonjourbebe.pl/2/miejsce.html	bonjourbebe.pl/2/miejsce.html	(from http://bonjourbebe.pl/2/index.html)
15:20:55	7543/7543	---M-Z	200	added ('OK')	text/html	etag:%221d77-55d7b18346200-gzip%22	http://bonjourbebe.pl/2/kadra.html	bonjourbebe.pl/2/kadra.html	(from http://bonjourbebe.pl/2/index.html)
